stock_id,report_period,announcement_datetime,effective_trade_date,revenue,revenue_yoy,revenue_mom,gross_margin,operating_margin,eps,roe,debt_ratio,free_cash_flow,pe_ratio,pb_ratio,dividend_yield,updated_at
2360,2026-07-01,2026-07-28T00:00:00,2026-07-29,4114136000.0,0.7302446781174181,-0.09571617944143307,,,,,,,66.23,32.08,0.93,2026-07-28T16:07:32.748067+08:00
2368,2026-07-01,2026-07-28T00:00:00,2026-07-29,8255188000.0,0.7822292794927401,-0.059047928647479764,,,,,,,40.41,13.13,1.09,2026-07-28T16:07:33.391422+08:00
2382,2026-07-01,2026-07-28T00:00:00,2026-07-29,385190820000.0,1.0287247195164615,0.2366430022282866,,,,,,,16.19,5.98,4.84,2026-07-28T16:07:33.759361+08:00
2383,2026-07-01,2026-07-28T00:00:00,2026-07-29,17732956000.0,1.2069324458952981,0.13537677757207534,,,,,,,104.45,35.99,0.52,2026-07-28T16:07:34.130043+08:00
2395,2026-07-01,2026-07-28T00:00:00,2026-07-29,10122989000.0,0.7339187977693178,0.3089234723089265,,,,,,,44.76,10.1,1.93,2026-07-28T16:07:34.513800+08:00
2408,2026-07-01,2026-07-28T00:00:00,2026-07-29,29388309000.0,6.213354284927444,0.06211684658698813,,,,,,,39.03,7.0,0.31,2026-07-28T16:07:34.894723+08:00
2412,2026-07-01,2026-07-28T00:00:00,2026-07-29,21342447000.0,0.11404073246826729,0.0931858688478977,,,,,,,27.93,2.75,3.7,2026-07-28T16:07:35.291573+08:00
2449,2026-07-01,2026-07-28T00:00:00,2026-07-29,3621671000.0,0.2863738189557403,-0.04110643388130086,,,,,,,37.45,6.2,0.54,2026-07-28T16:07:35.671076+08:00
2454,2026-07-01,2026-07-28T00:00:00,2026-07-29,58011756000.0,0.027964446938465892,0.22299452730204683,,,,,,,58.65,15.05,1.45,2026-07-28T16:07:36.137930+08:00
2603,2026-07-01,2026-07-28T00:00:00,2026-07-29,39141253000.0,0.29994711702779564,0.12941472249705654,,,,,,,8.89,0.76,7.86,2026-07-28T16:07:36.520389+08:00
2880,2026-07-01,2026-07-28T00:00:00,2026-07-29,7496825000.0,0.2156054827892222,0.030881514338003013,,,,,,,20.0,2.37,3.5,2026-07-28T16:07:37.177312+08:00
2881,2026-07-01,2026-07-28T00:00:00,2026-07-29,22157770000.0,-0.28452525200339374,-0.2713061468092297,,,,,,,17.88,1.99,3.27,2026-07-28T16:07:37.807951+08:00
2882,2026-07-01,2026-07-28T00:00:00,2026-07-29,32306426000.0,-19.770888482428596,0.28921068671571826,,,,,,,14.95,1.97,3.55,2026-07-28T16:07:38.208505+08:00
2883,2026-07-01,2026-07-28T00:00:00,2026-07-29,13403740000.0,-0.06203206535392458,0.1571251770598161,,,,,,,17.25,1.54,3.26,2026-07-28T16:07:38.792971+08:00
2884,2026-07-01,2026-07-28T00:00:00,2026-07-29,9363120000.0,0.2530454180652226,0.011236209892491411,,,,,,,16.55,2.07,3.85,2026-07-28T16:07:39.165707+08:00
2885,2026-07-01,2026-07-28T00:00:00,2026-07-29,19576361000.0,1.027646264698248,-0.07923732568340536,,,,,,,19.91,2.4,3.4,2026-07-28T16:07:39.548273+08:00
2886,2026-07-01,2026-07-28T00:00:00,2026-07-29,8095929000.0,-0.0052080811824168904,-0.03310544151675743,,,,,,,20.08,1.82,3.54,2026-07-28T16:07:39.915213+08:00
2887,2026-07-01,2026-07-28T00:00:00,2026-07-29,17736690000.0,1.9840662512309049,0.19491501787250076,,,,,,,17.13,1.53,3.15,2026-07-28T16:07:40.279331+08:00
2890,2026-07-01,2026-07-28T00:00:00,2026-07-29,9682886000.0,0.5094266620919312,-0.029524238776931555,,,,,,,18.95,2.16,3.28,2026-07-28T16:07:40.651003+08:00
2891,2026-07-01,2026-07-28T00:00:00,2026-07-29,19828138000.0,-0.26269323258017974,0.031752605472007644,,,,,,,15.18,2.25,3.97,2026-07-28T16:07:41.023956+08:00
2892,2026-07-01,2026-07-28T00:00:00,2026-07-29,7231164000.0,0.04895313051228256,-0.010155023373281225,,,,,,,17.85,1.68,3.74,2026-07-28T16:07:41.423666+08:00
3008,2026-07-01,2026-07-28T00:00:00,2026-07-29,3712024000.0,-0.10464491392393582,-0.19175402830279675,,,,,,,25.53,2.9,1.96,2026-07-28T16:07:41.833897+08:00
3017,2026-07-01,2026-07-28T00:00:00,2026-07-29,17618119000.0,0.6611083679678091,0.11005478031044014,,,,,,,39.43,20.86,0.88,2026-07-28T16:07:42.211067+08:00
3037,2026-07-01,2026-07-28T00:00:00,2026-07-29,14897030000.0,0.36310652605264937,0.05953475159589572,,,,,,,124.71,11.88,0.23,2026-07-28T16:07:42.586204+08:00
3045,2026-07-01,2026-07-28T00:00:00,2026-07-29,17322389000.0,0.0656864482757793,0.05362952378559949,,,,,,,23.02,3.78,4.18,2026-07-28T16:07:43.012480+08:00
3231,2026-07-01,2026-07-28T00:00:00,2026-07-29,321821969000.0,0.5384760848458394,0.10902929064488309,,,,,,,17.75,2.96,3.11,2026-07-28T16:07:43.994803+08:00
3443,2026-07-01,2026-07-28T00:00:00,2026-07-29,4928512000.0,1.0371897307865594,0.05445000997002136,,,,,,,121.84,37.21,0.49,2026-07-28T16:07:44.368859+08:00
3653,2026-07-01,2026-07-28T00:00:00,2026-07-29,2649918000.0,0.5764322627738094,0.14544042250337053,,,,,,,97.51,24.42,0.62,2026-07-28T16:07:44.730969+08:00
3661,2026-07-01,2026-07-28T00:00:00,2026-07-29,3572404000.0,0.15393764143989452,0.8461101194874885,,,,,,,50.71,6.54,0.99,2026-07-28T16:07:45.096078+08:00
3665,2026-07-01,2026-07-28T00:00:00,2026-07-29,8518109000.0,0.6378988169130213,0.15859205799251663,,,,,,,43.39,8.99,0.71,2026-07-28T16:07:45.465899+08:00
3711,2026-07-01,2026-07-28T00:00:00,2026-07-29,65783102000.0,0.32861279955266354,0.04362437684340015,,,,,,,56.45,7.61,1.08,2026-07-28T16:07:45.839788+08:00
4904,2026-07-01,2026-07-28T00:00:00,2026-07-29,9622202000.0,0.15899898893854925,0.012651457779150999,,,,,,,27.28,4.04,3.54,2026-07-28T16:07:46.206721+08:00
4958,2026-07-01,2026-07-28T00:00:00,2026-07-29,17033197000.0,0.32832182870048143,0.05135410039713717,,,,,,,66.36,4.0,0.73,2026-07-28T16:07:46.591532+08:00
5880,2026-07-01,2026-07-28T00:00:00,2026-07-29,6519116000.0,-0.13043821586010318,0.03394987517961767,,,,,,,18.54,1.44,4.05,2026-07-28T16:07:46.952063+08:00
6505,2026-07-01,2026-07-28T00:00:00,2026-07-29,63683339000.0,0.18463351578114007,0.10222235353119125,,,,,,,27.92,1.98,1.54,2026-07-28T16:07:47.320802+08:00
6669,2026-07-01,2026-07-28T00:00:00,2026-07-29,111371123000.0,0.29790739162285385,0.3250505205366303,,,,,,,19.26,7.62,2.86,2026-07-28T16:07:47.689803+08:00
7769,2026-07-01,2026-07-28T00:00:00,2026-07-29,5301564000.0,,0.28380968801488593,,,,,,,76.24,17.53,1.06,2026-07-28T16:07:48.058589+08:00
8046,2026-07-01,2026-07-28T00:00:00,2026-07-29,4684331000.0,0.5002538145037134,0.05496131218545108,,,,,,,227.75,14.87,0.19,2026-07-28T16:07:48.424363+08:00
